,owner,origen,weapon,platform,total,number,Status,url,primary_key,Date
1400,RU,['Russia'],Tanks,Unknown T-72,148,106,['destroyed'],https://i.postimg.cc/MHcSKmHQ/1021-unkn-t72-destr-19-10-23.jpg,_bdbd520352fc08e29294,21/10/2023
1401,RU,['Russia'],Tanks,Unknown T-72,148,107,['destroyed'],https://i.postimg.cc/wTzY9QVX/1009-unkn-t72-destr-23-10-23.jpg,_9a92bcd68d2077e67de2,24/10/2023
1402,RU,['Russia'],Tanks,Unknown T-72,148,108,['destroyed'],https://i.postimg.cc/BnPqJwzg/1035-unkn-t72-destr-21-10-23.jpg,_40b7d19727dec501140a,25/10/2023
1403,RU,['Russia'],Tanks,Unknown T-72,148,109,['destroyed'],https://i.postimg.cc/FsFwT9Sb/1031-unkn-T-72-destr-12-10-23.jpg,_0e3cadc41a7b1c0bdd7c,28/10/2023
1404,RU,['Russia'],Tanks,Unknown T-72,148,110,['destroyed'],https://i.postimg.cc/qMZc3k22/1008-unkn-t72-destr-02-11-23.jpg,_2c666a64ec3cb1bd06c3,05/11/2023
1480,RU,['the Soviet Union'],Tanks,T-80BV,440,48,['destroyed'],https://i.postimg.cc/GtSjVwcD/1003-Destroyed-T-80-BV.jpg,_91916c3c106a7c82182d,29/09/2022
1505,RU,['the Soviet Union'],Tanks,T-80BV,440,73,['destroyed'],https://i.postimg.cc/76cyMGgg/1000-unkn-t72-destr.jpg,_3539f5ae62158d6daba6,18/10/2022
1570,RU,['the Soviet Union'],Tanks,T-80BV,440,138,['destroyed'],https://i.postimg.cc/W47YvJ2Q/1035-t80bv-destr-13-03-23.png,_eb8fa8aa661d0c48fa64,15/03/2023
1584,RU,['the Soviet Union'],Tanks,T-80BV,440,152,['destroyed'],https://i.postimg.cc/zDjPBByk/66y6.png,_483c04b35b7bf448de67,17/04/2023
1718,RU,['the Soviet Union'],Tanks,T-80BV,440,286,['destroyed'],https://i.postimg.cc/hGnXJwZ9/1041-t80bv-destr-30-11-22.jpg,_4a82067eacccff42ff8d,05/11/2023
1759,RU,['the Soviet Union'],Tanks,T-80BV,440,22,['abandoned'],https://twitter.com/UAWeapons/status/1630135537750142977,_f2f56d4a26431ecbd184,28/02/2023
1771,RU,['the Soviet Union'],Tanks,T-80BV,440,34,['abandoned'],https://i.postimg.cc/tCm7DKvx/1031-t80bv-aband-23-07-23.jpg,_5852c68d982159cb379b,20/08/2023
1772,RU,['the Soviet Union'],Tanks,T-80BV,440,35,['abandoned'],https://i.postimg.cc/kgdZnvTF/1501-t80bv-dam-aband-20-08-23.jpg,_f173dc598abdbc0495ef,26/08/2023
1773,RU,['the Soviet Union'],Tanks,T-80BV,440,36,"['damaged', 'abandoned']",https://i.postimg.cc/8zDZ4M2t/1000-T-80-BV-Dam-Aband-05-10-23.jpg,_1cd47f474be402249725,09/10/2023
1774,RU,['the Soviet Union'],Tanks,T-80BV,440,37,"['damaged', 'abandoned']",https://i.postimg.cc/50gJPcHx/1019-mtlb-destr-t80bv-dam-aband-22-10-23.jpg,_3901594a89beea66f114,25/10/2023
1775,RU,['the Soviet Union'],Tanks,T-80BV,440,38,"['damaged', 'abandoned']",https://i.postimg.cc/qMzDqfHL/1034-1x-t72b3-1x-t80bv-2x-unkn-tank-destr-1x-t80bv-aband-31-10-23.jpg,_92a70fe31a7989f9317c,02/11/2023
