owner;weapon;platform;;;;;;;;owner;;weapon;;platform;;Status
RU;Infantry Mobility Vehicles;GAZ Tigr;;;;;;;;;;;;GAZ Tigr;;
RU;Infantry Mobility Vehicles;GAZ Tigr-M;;;;;;;;;;;;GAZ Tigr-M;;
RU;Infantry Mobility Vehicles;AMN-590951;;;;;;;;;;;;AMN-590951;;
RU;Infantry Mobility Vehicles;Iveco LMV Rys;;;;;;;;;;;;Iveco LMV Rys;;
RU;Infantry Mobility Vehicles;GAZ-3937 Vodnik;;;;;;;;;;;;GAZ-3937 Vodnik;;
RU;Infantry Mobility Vehicles;KamAZ Patrol;;;;;;;;;;;;KamAZ Patrol;;
RU;Command Posts And Communications Stations ;BMP-1KSh command and staff vehicle;;;;;;;;;;;;BMP-1KSh command and staff vehicle;;
RU;Command Posts And Communications Stations ;BMD-1KSh-A command vehicle;;;;;;;;;;;;BMD-1KSh-A command vehicle;;
RU;Command Posts And Communications Stations ;BTR-60PU-12command vehicle;;;;;;;;;;;;BTR-60PU-12command vehicle;;
RU;Command Posts And Communications Stations ;R-145BM command vehicle;;;;;;;;;;;;R-145BM command vehicle;;
RU;Command Posts And Communications Stations ;R-145BM1 command vehicle;;;;;;;;;;;;R-145BM1 command vehicle;;
RU;Command Posts And Communications Stations ;R-145BMA command vehicle;;;;;;;;;;;;R-145BMA command vehicle;;
RU;Command Posts And Communications Stations ;R-142NSA command and signals vehicle;;;;;;;;;;;;R-142NSA command and signals vehicle;;
RU;Command Posts And Communications Stations ;R-149MA1 command and staff vehicle;;;;;;;;;;;;R-149MA1 command and staff vehicle;;
RU;Command Posts And Communications Stations ;R-149MA3 command and staff vehicle;;;;;;;;;;;;R-149MA3 command and staff vehicle;;
RU;Command Posts And Communications Stations ;APE-5 command post;;;;;;;;;;;;APE-5 command post;;
RU;Command Posts And Communications Stations ;MSh-5350.1 command vehicle;;;;;;;;;;;;MSh-5350.1 command vehicle;;
RU;Command Posts And Communications Stations ;9S470M1 (or variant thereof) command post (for Buk-M1/2);;;;;;;;;;;;9S470M1 (or variant thereof) command post (for Buk-M1/2);;
RU;Command Posts And Communications Stations ;Barnaul-T 932-1 automated system for air defence units;;;;;;;;;;;;Barnaul-T 932-1 automated system for air defence units;;
RU;Command Posts And Communications Stations ;9S932-2 intelligence, control and command vehicle (for Barnaul-T);;;;;;;;;;;;9S932-2 intelligence, control and command vehicle (for Barnaul-T);;
RU;Command Posts And Communications Stations ;Command vehicle forPodlet-K1 low-altitude S-band surveillance radar;;;;;;;;;;;;Command vehicle forPodlet-K1 low-altitude S-band surveillance radar;;
RU;Command Posts And Communications Stations ;55K6A command post for S-400;;;;;;;;;;;;55K6A command post for S-400;;
RU;Command Posts And Communications Stations ;R-149AKSh-1 command and signals vehicle;;;;;;;;;;;;R-149AKSh-1 command and signals vehicle;;
RU;Command Posts And Communications Stations ;R-149BMRgcommand and signals vehicle;;;;;;;;;;;;R-149BMRgcommand and signals vehicle;;
RU;Command Posts And Communications Stations ;R-161 signals vehicle;;;;;;;;;;;;R-161 signals vehicle;;
RU;Command Posts And Communications Stations ;R-166-0.5 signals vehicle;;;;;;;;;;;;R-166-0.5 signals vehicle;;
RU;Command Posts And Communications Stations ;P-240digital communications vehicle;;;;;;;;;;;;P-240digital communications vehicle;;
RU;Command Posts And Communications Stations ;P-260 Redut-2US communication system;;;;;;;;;;;;P-260 Redut-2US communication system;;
RU;Command Posts And Communications Stations ;P-260-U signals vehicle (for Redut-2US signal and communications system);;;;;;;;;;;;P-260-U signals vehicle (for Redut-2US signal and communications system);;
RU;Command Posts And Communications Stations ;R-431AM antenna module for the Redut-2US communications system;;;;;;;;;;;;R-431AM antenna module for the Redut-2US communications system;;
RU;Command Posts And Communications Stations ;R-419L1 communications station;;;;;;;;;;;;R-419L1 communications station;;
RU;Command Posts And Communications Stations ;MP-1IM signals vehicle;;;;;;;;;;;;MP-1IM signals vehicle;;
RU;Command Posts And Communications Stations ;MP-2IM signals vehicle;;;;;;;;;;;;MP-2IM signals vehicle;;
RU;Command Posts And Communications Stations ;R-439-MD2 SatCom Station;;;;;;;;;;;;R-439-MD2 SatCom Station;;
RU;Command Posts And Communications Stations ;R-441 SatCom station;;;;;;;;;;;;R-441 SatCom station;;
RU;Command Posts And Communications Stations ;Auriga-1.2V portable satellite communications station;;;;;;;;;;;;Auriga-1.2V portable satellite communications station;;
RU;Command Posts And Communications Stations ;R-381T2M radio monitoring station from a modernised R-381TM Taran-M automatic signals intelligence complex;;;;;;;;;;;;R-381T2M radio monitoring station from a modernised R-381TM Taran-M automatic signals intelligence complex;;
RU;Command Posts And Communications Stations ;Orlan-10 UAV control station;;;;;;;;;;;;Orlan-10 UAV control station;;
RU;Command Posts And Communications Stations ;Lancet loitering munition launcher and control station;;;;;;;;;;;;Lancet loitering munition launcher and control station;;
RU;Command Posts And Communications Stations ;P-230T command vehicle;;;;;;;;;;;;P-230T command vehicle;;
RU;Command Posts And Communications Stations ;MPUS-K mobile command post;;;;;;;;;;;;MPUS-K mobile command post;;
RU;Command Posts And Communications Stations ;Unknown communications station based on the KamAZ 6x6;;;;;;;;;;;;Unknown communications station based on the KamAZ 6x6;;
RU;Command Posts And Communications Stations ;Unknown UAV control station;;;;;;;;;;;;Unknown UAV control station;;
