,owner,origen,weapon,platform,total,number,Status,url
4364,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,1,['destroyed'],https://postimg.cc/yJNnspb7
4365,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,2,['destroyed'],https://i.postimg.cc/vmqnP67C/223.png
4366,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,3,['destroyed'],https://i.postimg.cc/rshQS3MH/f4.png
4367,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,4,['destroyed'],https://i.postimg.cc/GmRQzM1X/g8k.png
4368,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,5,['destroyed'],https://i.postimg.cc/YStP5QYc/16.png
4369,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,6,['destroyed'],https://postlmg.cc/ygc8qzLD
4370,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,7,['destroyed'],https://i.postimg.cc/TY5V8GDn/36.png
4371,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,8,['destroyed'],https://i.postimg.cc/JzB6VTpG/1009.png
4372,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,9,"['withZU-23AAgun', 'destroyed']",https://postimg.cc/K17djsQB
4373,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,10,['destroyed'],https://i.postimg.cc/W1yLc2Qj/1011.png
4374,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,11,['destroyed'],https://i.postimg.cc/rm84TwFg/2022-09-16-UA-Ural-4320.png
4375,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,12,['destroyed'],https://i.postimg.cc/6p203Qjd/7.png
4376,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,13,['destroyed'],https://i.postimg.cc/HxyLd7jM/1018-unkn-truck-2x.jpg
4377,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,14,['destroyed'],https://i.postimg.cc/HxyLd7jM/1018-unkn-truck-2x.jpg
4378,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,15,['destroyed'],https://i.postimg.cc/xqr34p57/10-13-2022-UA-Ural-4320-destroyed.png
4379,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,16,['destroyed'],https://i.postimg.cc/N0nx31kj/UA-GAZ-66-Zil-130-Ural-4320-destroyed.png
4380,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,17,['destroyed'],https://i.postimg.cc/90y4R2Ph/2022-02-25-Ural-4320-D-30-destroyed.jpg
4381,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,18,['destroyed'],https://i.postimg.cc/k48Z8b22/2022-02-27-UA-Ural-4320-destroyed-Kyiv.jpg
4382,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,19,['destroyed'],https://i.postimg.cc/9FRHJ655/2022-04-05-UA-Ural-4320-destroyed-Hostomel.jpg
4383,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,20,['destroyed'],https://i.postimg.cc/qBmNfyT3/2022-04-08-UA-Ural-4320-destroyed.jpg
4384,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,21,['destroyed'],https://i.postimg.cc/k4SDJXvg/2022-09-21-UA-Ural-4320-destroyed-Mykolaiv.jpg
4385,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,22,['destroyed'],https://i.postimg.cc/Jnw887kn/2005-ural4320-destr-25-12-22.jpg
4386,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,23,['destroyed'],https://i.postimg.cc/BbbMfnST/2000-ural4320-destr-10-02-23.jpg
4387,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,24,['destroyed'],https://i.postimg.cc/7Z91k8Qd/2008-ural4320-destr-08-03-23.jpg
4388,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,25,['destroyed'],https://i.postimg.cc/dVX6rmH2/2001-ural4320-destr-13-04-22.jpg
