weapon;platform
Engineering Vehicles And Equipment ;MTO-AT mobile workshop
Engineering Vehicles And Equipment ;MTO-AG-3M mobile workshop
Engineering Vehicles And Equipment ;ARS-14 decontamination and degassing vehicle
Engineering Vehicles And Equipment ;Uran-6 mine-clearing robotic system
Engineering Vehicles And Equipment ;ISDM Zemledeliye remote mine-laying system
Engineering Vehicles And Equipment ;ZiL-131 UMZ mine laying vehicle
Engineering Vehicles And Equipment ;TDA-3 mobile smoke generator
Engineering Vehicles And Equipment ;APA-80 engine starting vehicle
Engineering Vehicles And Equipment ;MZA-M.1 battery charge and repair workshop
Self-Propelled Anti-Tank Missile Systems;9P148 Konkurs
Self-Propelled Anti-Tank Missile Systems;9P149 Shturm-S
Self-Propelled Anti-Tank Missile Systems;9P163M-1 Kornet-T
Artillery Support Vehicles And Equipment;V110 BM-21 Grad battery command vehicle
Artillery Support Vehicles And Equipment;1V13(M) battery fire control center
Artillery Support Vehicles And Equipment;1V14 battery command and forward observer vehicle
Artillery Support Vehicles And Equipment;V15M fire control and observation vehicle
Artillery Support Vehicles And Equipment;V16battalion fire direction vehicle
Artillery Support Vehicles And Equipment;V18 'Klyon-1' artillery command and forward observer vehicle
Artillery Support Vehicles And Equipment;1V119 artillery fire direction vehicle
Artillery Support Vehicles And Equipment;V1003 command and observation vehicle (for 1V198 artillery fire control system)
Artillery Support Vehicles And Equipment;9T452 transporter-loader (for BM-27 Uragan MRL)
Artillery Support Vehicles And Equipment;TZM 9T234-2 transporter-loader (for BM-30 Smerch)
Artillery Support Vehicles And Equipment;TZM-T reloader vehicle (for TOS-1A)
Artillery Support Vehicles And Equipment;PRP-4(M) artillery reconnaissance vehicle
Artillery Support Vehicles And Equipment;PRP-4A Argus artillery reconnaissance vehicle
Towed Artillery ;82mm 2B9 Vasilek automatic gun mortar
Towed Artillery ;100mm MT-12 anti-tank gun
Towed Artillery ;120mm 2B16 Nona-K gun mortar
Towed Artillery ;122mm D-30 howitzer
Towed Artillery ;152mm D-20 gun-howitzer
Towed Artillery ;152mm 2A65 Msta-B howitzer
Towed Artillery ;152mm2A36 Giatsint-B field-gun
Towed Artillery ;Unknown towed artillery
Self-Propelled Artillery ;120mm 2S9 Nona
Self-Propelled Artillery ;120mm 2S23 Nona-SVK
Self-Propelled Artillery ;120mm 2S34 Khosta
Self-Propelled Artillery ;122mm 2S1 Gvozdika
Self-Propelled Artillery ;152mm 2S3(M) Akatsiya
Self-Propelled Artillery ;152mm2S5 Giatsint-S
Self-Propelled Artillery ;152mm 2S19 Msta-S
Self-Propelled Artillery ;152mm 2S33 Msta-SM2
Self-Propelled Artillery ;203mm 2S7(M) Pion/Malka
Self-Propelled Artillery ;240mm 2S4 Tyulpan
Self-Propelled Artillery ;Unknown SPG
Multiple Rocket Launchers ;122mm BM-21 Grad
Multiple Rocket Launchers ;122mm 9P138 Grad-1
Multiple Rocket Launchers ;122mm 2B26 Grad-K
Multiple Rocket Launchers ;MT-LB with 140mm Ogon-18 MRLS
Multiple Rocket Launchers ;220mm BM-27 Uragan
Multiple Rocket Launchers ;300mm BM-30 Smerch
Anti-Aircraft Guns ;23mm ZU-23-2
Anti-Aircraft Guns ;57mm AZP S-60
Self-Propelled Anti-Aircraft Guns ;BTR-ZD Skrezhet
Self-Propelled Anti-Aircraft Guns ;ZSU-23-4 Shilka
Self-Propelled Anti-Aircraft Guns ;2K22M1 Tunguska
Surface-To-Air Missile Systems ;9K33 Osa
Surface-To-Air Missile Systems ;9K35 Strela-10
Surface-To-Air Missile Systems ;-2)
Surface-To-Air Missile Systems ;9A39M1-2 TEL (for Buk-M1-2)
Surface-To-Air Missile Systems ;)
Surface-To-Air Missile Systems ; 
Surface-To-Air Missile Systems ;9A330 TLAR (for 9K330 Tor)
Surface-To-Air Missile Systems ;9A331 TLAR (for 9K331 Tor-M1)
Surface-To-Air Missile Systems ;9A331M TLAR (for 9K332 Tor-M2)
Surface-To-Air Missile Systems ;K331MDT TLAR Tor-M2DT
Surface-To-Air Missile Systems ;Unknown Tor TLAR
Surface-To-Air Missile Systems ;Pantsir-S1
Surface-To-Air Missile Systems ;5P85SD/SM (launcher for S-300 PMU(-1))
Surface-To-Air Missile Systems ;9A83M2 TELAR (forS-300V4)
Surface-To-Air Missile Systems ;9A84-2 TEL (forS-300V4)
Surface-To-Air Missile Systems ;5P85T2 (launcher for S-400)
Surface-To-Air Missile Systems ;5P85SM2-01 (launcher for S-400)
Radars ;9S36 (for Buk-M2)
Radars ;S18 Kupol (for Buk-M1-2/M2)
Radars ;S18М1(-2) (for Buk-M2)
Radars ;S18М1(-3) (for Buk-M3)
Radars ;9S36M (for Buk-M3)
Radars ;S32M1 (forS-300V)
Radars ;S19M2 (for S-300V)
Radars ;N63S “Flap Lid B” engagement and tracking radar of the S-300
Radars ;N6A (for S-400)
Radars ;PPRU-1(M) '9S80(-1)' 'Sborka' (for 9K35 Strela-10)
Radars ;Repeynik portable counter-UAS radar
Radars ;Fara ground surveillance radar
Radars ;1L271 Aistyonok portable mortar locating reconnaissance radar
Radars ;Sobolyatnik 1L277 portable ground reconnaissance radar
Radars ;SNAR-10M1 battlefield surveillance radar
Radars ;1L219 (for Zoopark counter-battery radar complex)
