weapon;platform
Engineering Vehicles And Equipment ;TDA-M mobile smoke generator
Engineering Vehicles And Equipment ;AK-04-9A 'Porosha' airfield air conditioner based on KamAZ-5320
Self-Propelled Anti-Tank Missile Systems;9P148 Konkurs ATGM carrier
Self-Propelled Anti-Tank Missile Systems;9P149 Shturm-S ATGM carrier
Artillery Support Vehicles And Equipment;1V13 battery command and forward observer vehicle
Artillery Support Vehicles And Equipment;1V15 battery command and forward observer vehicle
Artillery Support Vehicles And Equipment;1V16M artillery battalion command and staff vehicle
Artillery Support Vehicles And Equipment;1V18 'Klyon-1' artillery command and forward observer vehicle
Artillery Support Vehicles And Equipment;9T452 transporter-loader (for BM-27 'Uragan' MRL)
Towed Artillery;100mm BS-3 anti-tank gun
Towed Artillery;100mm MT-12 anti-tank gun
Towed Artillery;105mm L119 howitzer
Towed Artillery;120mm 2B16 Nona-K gun mortar
Towed Artillery;122mm D-30 howitzer
Towed Artillery;mm M-46 field gun
Towed Artillery;152mm D-20 gun-howitzer
Towed Artillery;152mm 2A36 Giatsint-B field-gun
Towed Artillery;152mm 2A65 Msta-B howitzer
Towed Artillery;155mm FH-70 howitzer
Towed Artillery;155mm TRF1 howitzer
Towed Artillery;155mm M777A2 howitzer
Towed Artillery;Unknown towed artillery
Self-Propelled Artillery;120mm Bars-8MMK
Self-Propelled Artillery;120mm BTR-3M2
Self-Propelled Artillery;120mm 2S9 Nona
Self-Propelled Artillery;mm BRM-1K with 2S9 Nona turret
Self-Propelled Artillery;120mm М1064А3
Self-Propelled Artillery;mm Alakran
Self-Propelled Artillery;122mm 2S1 Gvozdika
Self-Propelled Artillery;152mm 2S3 Akatsiya
Self-Propelled Artillery;152mm 2S5 Giatsint-S
Self-Propelled Artillery;152mm 2S19 Msta-S
Self-Propelled Artillery;155mm M109A3/A4/A5/A6/L
Self-Propelled Artillery;155mmAHS Krab
Self-Propelled Artillery;203mm 2S7 Pion
Self-Propelled Artillery;mm ShKH Zuzana 2
Self-Propelled Artillery;mm Caesar 6x6
Self-Propelled Artillery;155mm Caesar 8x8
Self-Propelled Artillery;mm Panzerhaubitze 2000
Self-Propelled Artillery;mm ShKH vz. 77 DANA
Self-Propelled Artillery;155mm AS-90
Self-Propelled Artillery;Unknown SPG
Multiple Rocket Launchers;mm B-8 makeshift MRL
Multiple Rocket Launchers;122mm BM-21 Grad
Multiple Rocket Launchers;122mm Bastion-1
Multiple Rocket Launchers;220mm BM-27 Uragan
Multiple Rocket Launchers;220mmBureviy
Multiple Rocket Launchers;mm RM-70
Anti-Aircraft Guns;23mm ZU-23
Anti-Aircraft Guns;23mm 23 ItK 61
Self-Propelled Anti-Aircraft Guns ;2K22M Tunguska-M
Surface-To-Air Missile Systems ;Stormer HVM
Surface-To-Air Missile Systems ;9A310M1 TELAR
Surface-To-Air Missile Systems ;9A39M1 TEL (for Buk-M1)
Surface-To-Air Missile Systems ;9A330 Tor TLAR (for 9K330 Tor)
Surface-To-Air Missile Systems ;5P851A (Launcher for S-300PT-1A)
Surface-To-Air Missile Systems ;5P85D (launcher for S-300PS)
Surface-To-Air Missile Systems ;5P85S (launcher for S-300PS)
Surface-To-Air Missile Systems ;5P85D/S (launcher for S-300PS)
Surface-To-Air Missile Systems ;Launcher for S-300
Radars And Communications Equipment;P-14'Tall King'
Radars And Communications Equipment;P-18 'Spoon Rest D'
Radars And Communications Equipment;P-18 'Malakhit'
Radars And Communications Equipment;K6 'Pelikan' 3D surveillance radar
Radars And Communications Equipment;P-19 'Flat Face B'
Radars And Communications Equipment;P-35/37 'Bar Lock'
Radars And Communications Equipment;PRV-11 'Side Net'
Radars And Communications Equipment;PRV-13 'Odd Pair'
Radars And Communications Equipment;PRV-16 'Thin Skin B'
Radars And Communications Equipment;1L22 'Parol'
Radars And Communications Equipment;36D6 'Tin Shield'
Radars And Communications Equipment;5N63S 'Flap Lid B' (for S-300PS)
Radars And Communications Equipment;5N63-1 'Flap Lid A' on 40V6M mast (for S-300PT)
Radars And Communications Equipment;N66M 'Clam Shell' on 40V6M mast (for S-300PT)
Radars And Communications Equipment;R-410-7,5 tropospheric radio relay communication station
Radars And Communications Equipment;SNAR-10 battlefield surveillance radar
Radars And Communications Equipment;1B44-1 (RPMK-1) radiosonde weather radar
Radars And Communications Equipment;ST-68U radar
Radars And Communications Equipment;PRV-16ML height-finder radar
Radars And Communications Equipment;P-18ML long-range VHF surveillance radar
Radars And Communications Equipment;AN-MPQ-64 Sentinel radr
Radars And Communications Equipment;TRML-4D multi-functional radar (for IRIS-T SLM)
Radars And Communications Equipment;AN/TPQ-36 weapons location radar
Radars And Communications Equipment;AN/TPQ-37 weapons location radar
Radars And Communications Equipment;AN/TPQ-49 lightweight counter mortar radar
Radars And Communications Equipment;AN/TPQ-50 counter-battery radar
Radars And Communications Equipment;ARTHUR counter-battery radar
Radars And Communications Equipment;Unknown counter mortar/battery radar
Jammers And Deception Systems ;NOTA
Jammers And Deception Systems ;Bukovel-AD EW system
Aircraft;MiG-29 fighter aircraft
Aircraft;Su-27 fighter aircraft
Aircraft;L-39 Albatros
Helicopters;Mi-2 training helicopter
Helicopters;Mi-14PS maritime helicopter
Helicopters;Mi-17V5
Helicopters;Mi-24 attack helicopter
Helicopters;Airbus H225 transport helicopter
Unmanned Combat Aerial Vehicles;Bayraktar TB2
Unmanned Combat Aerial Vehicles;Avenger
Reconnaissance Unmanned Aerial Vehicles;A1-SM Fury
Reconnaissance Unmanned Aerial Vehicles;ASU-1 Valkyrja
Reconnaissance Unmanned Aerial Vehicles;Leleka-100
Reconnaissance Unmanned Aerial Vehicles;Spaitech Sparrow
Reconnaissance Unmanned Aerial Vehicles;Spectator-M1
Reconnaissance Unmanned Aerial Vehicles;Dovbush T10
Reconnaissance Unmanned Aerial Vehicles;PD-1
Reconnaissance Unmanned Aerial Vehicles;UJ-22
Reconnaissance Unmanned Aerial Vehicles;ITEC Skif
Reconnaissance Unmanned Aerial Vehicles;Shark
Reconnaissance Unmanned Aerial Vehicles;Mara-2M
Reconnaissance Unmanned Aerial Vehicles;Chaklun
Reconnaissance Unmanned Aerial Vehicles;Orlik
Reconnaissance Unmanned Aerial Vehicles;Primoco One 150
Reconnaissance Unmanned Aerial Vehicles;FlyEye
Reconnaissance Unmanned Aerial Vehicles;Penguin C
Reconnaissance Unmanned Aerial Vehicles;Poseidon H10
Reconnaissance Unmanned Aerial Vehicles;EOS-C VTOL
Reconnaissance Unmanned Aerial Vehicles;Bayraktar Mini
Reconnaissance Unmanned Aerial Vehicles;AeroVironment RQ-20 Puma
Reconnaissance Unmanned Aerial Vehicles;AeroVironmentQuantix Recon UAV
Reconnaissance Unmanned Aerial Vehicles;Boeing Insitu ScanEagle 2
Reconnaissance Unmanned Aerial Vehicles;Malloy Aeronautics T150 cargo UAV
Reconnaissance Unmanned Aerial Vehicles;Unknown reconnaissance UAV
Naval Ships;Krivak III-class frigate
Naval Ships;Gyurza-M-class gunboat
Naval Ships;Island-class patrol boat
Naval Ships;Stenka-class patrol boat (Operated by the Sea Guard)
Naval Ships;Zhuk-class patrol boat (Sea Guard)
Naval Ships;Sorum-class seagoing tugboat
Naval Ships;Project 376 Yaroslavets-class general purpose tugboat
Naval Ships;Project 1258 Yevgenya-class minesweeper
Naval Ships;Pr.304 Amur-class command ship
Naval Ships;Project 58181 Centaur-class fast assault boat
Naval Ships;UMS-600 patrol boat (Sea Guard)
Naval Ships;UMS-1000 patrol boat (Sea Guard)
Naval Ships;Project 50030 Kalkan-class patrol boat (Sea Guard)
Naval Ships;Unknown patrol boat (Sea Guard)
Trucks, Vehicles, and Jeeps;KrAZ-214
Trucks, Vehicles, and Jeeps;KrAZ-260
Trucks, Vehicles, and Jeeps;KrAZ-6322
Trucks, Vehicles, and Jeeps;KrAZ-6322 Raptor
Trucks, Vehicles, and Jeeps;KrAZ-6446
Trucks, Vehicles, and Jeeps;KrAZ-5233
Trucks, Vehicles, and Jeeps;ATs-10-260 Fuel Tanker
Trucks, Vehicles, and Jeeps;Bogdan-5316
Trucks, Vehicles, and Jeeps;Bogdan-63172
Trucks, Vehicles, and Jeeps;Bogdan-63172 'Kozak'
Trucks, Vehicles, and Jeeps;GAZ-53
Trucks, Vehicles, and Jeeps;GAZ-63
Trucks, Vehicles, and Jeeps;GAZ-66 tanker
Trucks, Vehicles, and Jeeps;GAZ-3308 tanker
Trucks, Vehicles, and Jeeps;ZiL-130
Trucks, Vehicles, and Jeeps;ZiL-130 tanker
Trucks, Vehicles, and Jeeps;ZiL-157
Trucks, Vehicles, and Jeeps;ZiL-181
Trucks, Vehicles, and Jeeps;ZiL-4331
Trucks, Vehicles, and Jeeps;Ural tanker
Trucks, Vehicles, and Jeeps;MAZ-537
Trucks, Vehicles, and Jeeps;MAZ AC-8-500A Tanker
Trucks, Vehicles, and Jeeps;MAZ-5336
Trucks, Vehicles, and Jeeps;MAZ-5337 fuel tanker
Trucks, Vehicles, and Jeeps;FMTV M1083A1P2
Trucks, Vehicles, and Jeeps;Jelcz P882 D53
Trucks, Vehicles, and Jeeps;Mercedes-Benz Unimog U1300L ambulance
Trucks, Vehicles, and Jeeps;Pinzgauer Vector 718
Trucks, Vehicles, and Jeeps;Land Rover Defender
Trucks, Vehicles, and Jeeps;Armoured Volkswagen Amarok pickup truck
Trucks, Vehicles, and Jeeps;Bogdan-2251 ambulance pickup truck
Trucks, Vehicles, and Jeeps;Armed pickup truck
Trucks, Vehicles, and Jeeps;Peugeot P4
Trucks, Vehicles, and Jeeps;DAF YAD 4442 NT
Trucks, Vehicles, and Jeeps;Iveco Magirus 90-16 AW 4x4
Trucks, Vehicles, and Jeeps;Iveco VM90
Trucks, Vehicles, and Jeeps;Downgraded Mowag Eagle II
Trucks, Vehicles, and Jeeps;Unknown truck
Trucks, Vehicles, and Jeeps;Unknown vehicle
