indice;owner;origen;weapon;platform;total;number;Status;url;primary_key_base;primary_key_new;;owner;origen;weapon;platform;total;number;Status;url
9260;RU;['Russia'];Surface-To-Air Missile Systems ;9A317 TELAR;2;5;['destroyed'];https://twitter.com/UAWeapons/status/1566862026173038594;_b9e54224345505522dea;_a31f05f0371819e6919f;9259;RU;['Russia'];Surface-To-Air Missile Systems ;);2;5;['destroyed'];https://twitter.com/UAWeapons/status/1566862026173038594
9261;RU;['Russia'];Surface-To-Air Missile Systems ;9A317 TELAR;2;6;['destroyed'];https://i.postimg.cc/G2wxRcvD/2022-04-07-9a317.jpg;_fc45e13af1b9443d85c7;_5b3712e3859a9c953cc4;9260;RU;['Russia'];Surface-To-Air Missile Systems ;);2;6;['destroyed'];https://i.postimg.cc/G2wxRcvD/2022-04-07-9a317.jpg
9262;RU;['Russia'];Surface-To-Air Missile Systems ;9A317 TELAR;2;7;['destroyed'];https://i.postimg.cc/nzD9RjPx/4f6.png;_1f0602db00ccac3bf5e8;_fead5b5e5cfa1d41da59;9261;RU;['Russia'];Surface-To-Air Missile Systems ;);2;7;['destroyed'];https://i.postimg.cc/nzD9RjPx/4f6.png
9263;RU;['Russia'];Surface-To-Air Missile Systems ;9A317 TELAR;2;8;['destroyed'];https://twitter.com/UAWeapons/status/1634494232814665728;_14fbaa18dd893f3d39e5;_96bb0c0151c6490ee70b;9262;RU;['Russia'];Surface-To-Air Missile Systems ;);2;8;['destroyed'];https://twitter.com/UAWeapons/status/1634494232814665728
9264;RU;['Russia'];Surface-To-Air Missile Systems ;9A317 TELAR;2;9;['destroyed'];https://i.postimg.cc/vH4qwtb8/1008-buk-destr-24-07-23.jpg;_892b7e49060786ff78fc;_c6bd89d3ec04604795bc;9263;RU;['Russia'];Surface-To-Air Missile Systems ;);2;9;['destroyed'];https://i.postimg.cc/vH4qwtb8/1008-buk-destr-24-07-23.jpg
9265;RU;['Russia'];Surface-To-Air Missile Systems ;9A317 TELAR;2;10;['destroyed'];https://i.postimg.cc/gjtLTb5C/6530.png;_0129c06d7a36562531a8;_235b6dcd0bf80b74f60a;9264;RU;['Russia'];Surface-To-Air Missile Systems ;);2;10;['destroyed'];https://i.postimg.cc/gjtLTb5C/6530.png
9266;RU;['Russia'];Surface-To-Air Missile Systems ;9A317 TELAR;2;1;['damaged'];https://i.postimg.cc/JnCgXRXL/1016-9-A317.jpg;_3728d56813dbced7124e;_b45acc11cf882d8a6098;9265;RU;['Russia'];Surface-To-Air Missile Systems ;);2;1;['damaged'];https://i.postimg.cc/JnCgXRXL/1016-9-A317.jpg
9267;RU;['Russia'];Surface-To-Air Missile Systems ;9A317 TELAR;2;1;['captured'];https://i.postimg.cc/wx1tSZzy/48.jpg;_bbe241404f1bd426d42e;_3f352e1762e2fa51565c;9266;RU;['Russia'];Surface-To-Air Missile Systems ;);2;1;['captured'];https://i.postimg.cc/wx1tSZzy/48.jpg
9268;RU;['Russia'];Surface-To-Air Missile Systems ;9A316 TEL (for Buk-M2);2;1;['destroyed'];https://twitter.com/UAWeapons/status/1685581789169852416;_cb767ff3cdfb85ce0b14;_fecf5810885761ac1f0d;9267;RU;['Russia'];Surface-To-Air Missile Systems ;);2;1;['destroyed'];https://twitter.com/UAWeapons/status/1685581789169852416
9269;RU;['Russia'];Surface-To-Air Missile Systems ;9A316 TEL (for Buk-M2);2;2;['destroyed'];https://twitter.com/DefenceU/status/1703361403829285129;_7fc38a27043ad7485bde;_201b9cc341a01f8c3ae0;9268;RU;['Russia'];Surface-To-Air Missile Systems ;);2;2;['destroyed'];https://twitter.com/DefenceU/status/1703361403829285129
9270;RU;['Russia'];Surface-To-Air Missile Systems ;9A316 TEL (for Buk-M2);2;1;['captured'];https://i.postimg.cc/cC3bYzgz/3d.jpg;_9ded328320fa31c8fc2d;_027819afc29d7bc300fc;9269;RU;['Russia'];Surface-To-Air Missile Systems ;);2;1;['captured'];https://i.postimg.cc/cC3bYzgz/3d.jpg
9271;RU;['Russia'];Surface-To-Air Missile Systems ;9A316 TEL (for Buk-M2);2;2;['captured'];https://i.postimg.cc/yYtY083v/y5.jpg;_4b6ff1fa9269e3b25b2f;_fcb5efeea2bfb1604d86;9270;RU;['Russia'];Surface-To-Air Missile Systems ;);2;2;['captured'];https://i.postimg.cc/yYtY083v/y5.jpg
9272;RU;['Russia'];Surface-To-Air Missile Systems ;9A316 TEL (for Buk-M2);2;3;['captured'];https://i.postimg.cc/4xw3DhHx/26.png;_773798342aa9d3f9eaee;_dc96c929ef5826c6ca2b;9271;RU;['Russia'];Surface-To-Air Missile Systems ;);2;3;['captured'];https://i.postimg.cc/4xw3DhHx/26.png
9273;RU;['Russia'];Surface-To-Air Missile Systems ;Unknown Buk M1-2/M2/M3 TEL(AR);11;1;['destroyed'];https://i.postimg.cc/sf0JFTHR/21d.jpg;_5a4b8d626904c674a0c5;_47727405037866c116e0;9272;RU;['Russia'];Surface-To-Air Missile Systems ; ;11;1;['destroyed'];https://i.postimg.cc/sf0JFTHR/21d.jpg
9274;RU;['Russia'];Surface-To-Air Missile Systems ;Unknown Buk M1-2/M2/M3 TEL(AR);11;2;['destroyed'];https://i.postimg.cc/1tM362M2/668.jpg;_6afe1d3e5a4e186d9a36;_2274c67609720416c1e7;9273;RU;['Russia'];Surface-To-Air Missile Systems ; ;11;2;['destroyed'];https://i.postimg.cc/1tM362M2/668.jpg
9275;RU;['Russia'];Surface-To-Air Missile Systems ;Unknown Buk M1-2/M2/M3 TEL(AR);11;3;['destroyed'];https://i.postimg.cc/xTzzqrBh/5g3.jpg;_ff54aeed469a55111d98;_4b3290e45d42eb1bea56;9274;RU;['Russia'];Surface-To-Air Missile Systems ; ;11;3;['destroyed'];https://i.postimg.cc/xTzzqrBh/5g3.jpg
9276;RU;['Russia'];Surface-To-Air Missile Systems ;Unknown Buk M1-2/M2/M3 TEL(AR);11;4;['destroyed'];https://i.postimg.cc/xTzzqrBh/5g3.jpg;_2ce2e2ab02ace05df91d;_7d3b71a32cd0085c6994;9275;RU;['Russia'];Surface-To-Air Missile Systems ; ;11;4;['destroyed'];https://i.postimg.cc/xTzzqrBh/5g3.jpg
